ts_event,ofi_best,ofi_multi,ofi_integrated,ofi_cross_asset
2024-10-21 11:57:13+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:57:14+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:57:15+00:00,0.0,29.0,23.200000000000003,0.0
2024-10-21 11:57:16+00:00,0.0,400.0,159.99999999999997,0.0
2024-10-21 11:57:17+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:57:18+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:57:19+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:57:20+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:57:21+00:00,-20.0,-604.0,-330.6,0.0
2024-10-21 11:57:22+00:00,0.0,0.0,0.0,-20.0
2024-10-21 11:57:23+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:57:24+00:00,0.0,0.0,-40.000000000000014,0.0
2024-10-21 11:57:25+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:57:26+00:00,200.0,210.0,248.0,0.0
2024-10-21 11:57:27+00:00,200.0,200.0,200.0,200.0
2024-10-21 11:57:28+00:00,0.0,0.0,0.0,200.0
2024-10-21 11:57:29+00:00,-200.0,-200.0,-240.0,0.0
2024-10-21 11:57:30+00:00,0.0,0.0,40.000000000000014,-200.0
2024-10-21 11:57:31+00:00,200.0,200.0,200.0,0.0
2024-10-21 11:57:32+00:00,0.0,-1059.0,-593.8000000000001,200.0
2024-10-21 11:57:33+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:57:34+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:57:35+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:57:36+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:57:37+00:00,-200.0,-200.0,-200.0,0.0
2024-10-21 11:57:38+00:00,1.0,253.0,180.8,-200.0
2024-10-21 11:57:39+00:00,0.0,200.0,160.0,1.0
2024-10-21 11:57:40+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:57:41+00:00,0.0,26.0,10.399999999999999,0.0
2024-10-21 11:57:42+00:00,0.0,0.0,39.999999999999986,0.0
2024-10-21 11:57:43+00:00,0.0,241.0,133.4,0.0
2024-10-21 11:57:44+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:57:45+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:57:46+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:57:47+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:57:49+00:00,0.0,229.0,131.6,0.0
2024-10-21 11:57:50+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:57:51+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:57:52+00:00,0.0,-200.0,-40.0,0.0
2024-10-21 11:57:53+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:57:54+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:57:55+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:57:56+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:57:57+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:57:59+00:00,0.0,-200.0,-40.0,0.0
2024-10-21 11:58:00+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:58:01+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:58:02+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:58:03+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:58:07+00:00,0.0,-200.0,-79.99999999999999,0.0
2024-10-21 11:58:08+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:58:09+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:58:10+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:58:11+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:58:15+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:58:16+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:58:17+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:58:18+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:58:19+00:00,65.0,265.0,145.0,0.0
2024-10-21 11:58:20+00:00,0.0,200.0,120.0,65.0
2024-10-21 11:58:21+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:58:22+00:00,0.0,210.0,166.0,0.0
2024-10-21 11:58:23+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:58:24+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:58:25+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:58:26+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:58:33+00:00,0.0,200.0,160.0,0.0
2024-10-21 11:58:34+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:58:35+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:58:36+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:58:37+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:58:38+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:58:39+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:58:40+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:58:41+00:00,0.0,26.0,10.399999999999999,0.0
2024-10-21 11:58:42+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:58:43+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:58:44+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:58:45+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:58:51+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:58:52+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:58:53+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:58:54+00:00,40.0,491.0,234.59999999999997,0.0
2024-10-21 11:58:55+00:00,0.0,-400.0,-80.0,40.0
2024-10-21 11:58:56+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:58:57+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:58:58+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:58:59+00:00,38.0,503.0,234.19999999999996,0.0
2024-10-21 11:59:00+00:00,0.0,-227.0,-85.39999999999999,38.0
2024-10-21 11:59:01+00:00,0.0,-170.0,-61.999999999999986,0.0
2024-10-21 11:59:02+00:00,0.0,200.0,240.0,0.0
2024-10-21 11:59:03+00:00,0.0,200.0,160.0,0.0
2024-10-21 11:59:04+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:59:05+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:59:06+00:00,0.0,252.0,183.2,0.0
2024-10-21 11:59:07+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:59:08+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:59:09+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:59:10+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:59:23+00:00,0.0,-200.0,-79.99999999999999,0.0
2024-10-21 11:59:24+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:59:25+00:00,0.0,-200.0,-79.99999999999999,0.0
2024-10-21 11:59:26+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:59:27+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:59:28+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:59:29+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:59:30+00:00,0.0,-228.0,-5.599999999999972,0.0
2024-10-21 11:59:31+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:59:32+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:59:33+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:59:34+00:00,0.0,0.0,0.0,0.0
